Clock.Information	Display.RefreshRate	Experiment	Group	RandomSeed	Session	SessionDate	SessionTime	SessionTimeUtc	Subject	TrialsFile	BlockNum	Blocks	Blocks.Cycle	Blocks.Sample	Final	MeanAccuracy	Procedure	Running	CorrectResponse	Delay1	Delay2	Delay3	Encoding.ACC	Encoding.CRESP	Encoding.DurationError	Encoding.OnsetDelay	Encoding.OnsetTime	Encoding.RESP	Encoding.RT	Encoding.RTTime	Execution.ACC	Execution.CRESP	Execution.DurationError	Execution.OnsetDelay	Execution.OnsetTime	Execution.RESP	Execution.RT	Execution.RTTime	Fixation1.ACC	Fixation1.CRESP	Fixation1.DurationError	Fixation1.OnsetDelay	Fixation1.OnsetTime	Fixation1.RESP	Fixation1.RT	Fixation1.RTTime	Fixation2.ACC	Fixation2.CRESP	Fixation2.DurationError	Fixation2.OnsetDelay	Fixation2.OnsetTime	Fixation2.RESP	Fixation2.RT	Fixation2.RTTime	Foil	Intermediate	Operator1	Operator2	Operator3	Practiced	Probe	Probe.ACC	Probe.CRESP	Probe.DurationError	Probe.OnsetDelay	Probe.OnsetTime	Probe.RESP	Probe.RT	Probe.RTTime	Procedure	Result	Rule	Running	Structure	Trials	Trials.Cycle	Trials.Sample	Type	X	Y
<?xml version="1.0"?>\n<Clock xmlns	60.328	fMRI-RITL-Experiment	1	-340622533	1	08-31-2011	15		11015	Stim/11015-experiment.txt	1	1	1	1	No	100	BlockProc	Blocks	b	4000	4000	6000	0		-999999	5	63032	b	3821	66853	0		-999999	0	73027	b	1373	74400	0		-10	10	62037		0	0	0		-6	6	72033		0	0	11	(3, 9, 12)	ADD	DECREMENT	INCREMENT	No	12	1	b	-999999	12	80039	b	720	80759	TrialProc	12	('ADD', 'DECREMENT', 'x', 'INCREMENT', 'y')	Trials	BUxUy	1	2	1	Correct	4	8
<?xml version="1.0"?>\n<Clock xmlns	60.328	fMRI-RITL-Experiment	1	-340622533	1	08-31-2011	15		11015	Stim/11015-experiment.txt	1	1	1	1	No	100	BlockProc	Blocks	b	8000	4000	0	0		-999999	-3	89023	b	2892	91915	0		-999999	-1	101025	b	3266	104291	0		-3	3	88029		0	0	0		-4	4	100030		0	0	9	(10, 2, 8)	SUBTRACT	DOUBLE	HALF	No	8	1	b	-999999	16	110042	b	545	110587	TrialProc	8	('SUBTRACT', 'DOUBLE', 'x', 'HALF', 'y')	Trials	BUxUy	2	2	2	Correct	5	5
<?xml version="1.0"?>\n<Clock xmlns	60.328	fMRI-RITL-Experiment	1	-340622533	1	08-31-2011	15		11015	Stim/11015-experiment.txt	1	1	1	1	No	100	BlockProc	Blocks	b	6000	8000	6000	0		-999999	0	113026	b	4014	117040	0		-999999	1	125027	b	4623	129650	0		-5	5	112031		0	0	0		-7	7	124033		0	0	11	(2, 8, 10)	ADD	THIRD	DECREMENT	Yes	10	1	b	-999999	13	138039	b	657	138696	TrialProc	10	('ADD', 'THIRD', 'x', 'DECREMENT', 'y')	Trials	BUxUy	3	2	3	Correct	6	9
<?xml version="1.0"?>\n<Clock xmlns	60.328	fMRI-RITL-Experiment	1	-340622533	1	08-31-2011	15		11015	Stim/11015-experiment.txt	1	1	1	1	No	100	BlockProc	Blocks	y	2000	2000	2000	0		-999999	-2	147024	b	4969	151993	0		-999999	4	155030	b	4244	159274	0		-3	3	146029		0	0	0		-10	10	154036		0	0	7	(4, 2, 8)	TIMES	DECREMENT	THIRD	No	7	1	y	-999999	16	162042	y	779	162821	TrialProc	8	('TIMES', 'DECREMENT', 'x', 'THIRD', 'y')	Trials	BUxUy	4	2	4	Foil	5	7
<?xml version="1.0"?>\n<Clock xmlns	60.328	fMRI-RITL-Experiment	1	-340622533	1	08-31-2011	15		11015	Stim/11015-experiment.txt	1	1	1	1	No	100	BlockProc	Blocks	y	0	6000	2000	0		-999999	6	167031	b	2368	169399	0		-999999	1	171026	b	4155	175181	0		-12	12	166037		0	0	0		-7	7	170032		0	0	42	(10, 4, 40)	TIMES	DOUBLE	HALF	Yes	42	1	y	-999999	8	182033	y	866	182899	TrialProc	40	('TIMES', 'DOUBLE', 'x', 'HALF', 'y')	Trials	BUxUy	5	2	5	Foil	5	9
<?xml version="1.0"?>\n<Clock xmlns	60.328	fMRI-RITL-Experiment	1	-340622533	1	08-31-2011	15		11015	Stim/11015-experiment.txt	1	1	1	1	No	100	BlockProc	Blocks	b	4000	10000	0	0		-999999	-3	187022	b	2643	189665	0		-999999	4	195029	b	6573	201602	0		-3	3	186028		0	0	0		-9	9	194034		0	0	40	(12, 3, 36)	TIMES	DOUBLE	HALF	Yes	36	1	b	-999999	12	212036	b	644	212680	TrialProc	36	('TIMES', 'DOUBLE', 'x', 'HALF', 'y')	Trials	BUxUy	6	2	6	Correct	6	6
<?xml version="1.0"?>\n<Clock xmlns	60.328	fMRI-RITL-Experiment	1	-340622533	1	08-31-2011	15		11015	Stim/11015-experiment.txt	1	1	1	1	No	100	BlockProc	Blocks	y	2000	2000	6000	0		-999999	-4	215020	b	2910	217930	0		-999999	-4	221020	b	5426	226446	0		-18	18	214042		0	0	0		-2	2	220026		0	0	3	(4, 2, 2)	DIVIDE	DOUBLE	THIRD	No	3	1	y	-999999	14	230038	y	1330	231368	TrialProc	2	('DIVIDE', 'DOUBLE', 'x', 'THIRD', 'y')	Trials	BUxUy	7	2	7	Foil	2	8
<?xml version="1.0"?>\n<Clock xmlns	60.328	fMRI-RITL-Experiment	1	-340622533	1	08-31-2011	15		11015	Stim/11015-experiment.txt	1	1	1	1	No	100	BlockProc	Blocks	y	0	8000	6000	0		-999999	-2	239022	b	2961	241983	0		-999999	9	243033	b	5601	248634	0		-3	3	238027		0	0	0		-15	15	242039		0	0	16	(5, 12, 17)	ADD	DECREMENT	DOUBLE	No	16	1	y	-999999	11	258035	y	708	258743	TrialProc	17	('ADD', 'DECREMENT', 'x', 'DOUBLE', 'y')	Trials	BUxUy	8	2	8	Foil	6	6
<?xml version="1.0"?>\n<Clock xmlns	60.328	fMRI-RITL-Experiment	1	-340622533	1	08-31-2011	15		11015	Stim/11015-experiment.txt	1	1	1	1	No	100	BlockProc	Blocks	y	0	2000	4000	0		-999999	-5	267019	b	2505	269524	0		-999999	7	271031	b	5149	276180	0		-17	17	266041		0	0	0		-12	12	270036		0	0	30	(16, 2, 32)	TIMES	DOUBLE	HALF	Yes	30	1	y	-999999	8	280032	y	992	281024	TrialProc	32	('TIMES', 'DOUBLE', 'x', 'HALF', 'y')	Trials	BUxUy	9	2	9	Foil	8	5
<?xml version="1.0"?>\n<Clock xmlns	60.328	fMRI-RITL-Experiment	1	-340622533	1	08-31-2011	15		11015	Stim/11015-experiment.txt	1	1	1	1	No	100	BlockProc	Blocks	b	2000	2000	8000	0		-999999	3	287027	b	2622	289649	0		-999999	4	293027	b	4434	297461	0		-8	8	286032		0	0	0		-10	10	292033		0	0	6	(2, 3, 5)	ADD	THIRD	DECREMENT	Yes	5	1	b	-999999	16	300039	b	547	300586	TrialProc	5	('ADD', 'THIRD', 'x', 'DECREMENT', 'y')	Trials	BUxUy	10	2	10	Correct	7	4
