Clock.Information	Display.RefreshRate	Experiment	Group	RandomSeed	Session	SessionDate	SessionTime	SessionTimeUtc	Subject	TrialsFile	BlockNum	Blocks	Blocks.Cycle	Blocks.Sample	Final	MeanAccuracy	Procedure	Running	CorrectResponse	Delay1	Delay2	Delay3	Encoding.ACC	Encoding.CRESP	Encoding.DurationError	Encoding.OnsetDelay	Encoding.OnsetTime	Encoding.RESP	Encoding.RT	Encoding.RTTime	Execution.ACC	Execution.CRESP	Execution.DurationError	Execution.OnsetDelay	Execution.OnsetTime	Execution.RESP	Execution.RT	Execution.RTTime	Fixation1.ACC	Fixation1.CRESP	Fixation1.DurationError	Fixation1.OnsetDelay	Fixation1.OnsetTime	Fixation1.RESP	Fixation1.RT	Fixation1.RTTime	Fixation2.ACC	Fixation2.CRESP	Fixation2.DurationError	Fixation2.OnsetDelay	Fixation2.OnsetTime	Fixation2.RESP	Fixation2.RT	Fixation2.RTTime	Foil	Intermediate	Operator1	Operator2	Operator3	Practiced	Probe	Probe.ACC	Probe.CRESP	Probe.DurationError	Probe.OnsetDelay	Probe.OnsetTime	Probe.RESP	Probe.RT	Probe.RTTime	Procedure	Result	Rule	Running	Structure	Trials	Trials.Cycle	Trials.Sample	Type	X	Y
<?xml version="1.0"?>\n<Clock xmlns	59.822	fMRI-RITL-Experiment	1	1276654690	1	02-29-2012	13	9	11046	Stim/11046-experiment.txt	1	1	1	1	No	80	BlockProc	Blocks	y	2000	4000	2000	1		-1	1	37695		0	0	0		0	0	0		0	0	0		-15	15	36709		0	0	0		0	0	0		0	0	7	(1, 8, 8)	TIMES	DECREMENT	INCREMENT	Yes	8	0		0	0	0		0	0	TrialProc	8	('TIMES', 'DECREMENT', 'x', 'INCREMENT', 'y')	Trials	BUxUy	1	2	1	Correct	2	7
<?xml version="1.0"?>\n<Clock xmlns	59.822	fMRI-RITL-Experiment	1	1276654690	1	02-29-2012	13	9	11046	Stim/11046-experiment.txt	1	1	1	1	No	80	BlockProc	Blocks	b	4000	6000	4000	0		-999999	9	51703	y	3735	55438	0		-999999	6	61700	y	5881	67581	0		-6	6	50700		0	0	0		-3	3	60697		0	0	4	(1, 3, 3)	TIMES	HALF	DECREMENT	No	4	1	b	-999999	12	74705	b	1036	75741	TrialProc	3	('TIMES', 'HALF', 'x', 'DECREMENT', 'y')	Trials	BUxUy	2	2	2	Foil	3	4
<?xml version="1.0"?>\n<Clock xmlns	59.822	fMRI-RITL-Experiment	1	1276654690	1	02-29-2012	13	9	11046	Stim/11046-experiment.txt	1	1	1	1	No	80	BlockProc	Blocks	b	6000	2000	6000	0		-999999	0	81693	y	1784	83477	0		-999999	-4	91689	y	5612	97301	0		-13	13	80706		0	0	0		-10	10	90703		0	0	28	(3, 9, 27)	TIMES	DECREMENT	INCREMENT	Yes	28	0	b	0	6	100699		0	0	TrialProc	27	('TIMES', 'DECREMENT', 'x', 'INCREMENT', 'y')	Trials	BUxUy	3	2	3	Foil	4	8
<?xml version="1.0"?>\n<Clock xmlns	59.822	fMRI-RITL-Experiment	1	1276654690	1	02-29-2012	13	9	11046	Stim/11046-experiment.txt	1	1	1	1	No	80	BlockProc	Blocks	y	2000	0	6000	0		-999999	0	109693	y	5992	115685	0		-999999	-4	119689	y	5708	125397	0		-13	13	108706		0	0	0		-10	10	118703		0	0	6	(7, 1, 7)	DIVIDE	DECREMENT	THIRD	No	7	1	y	-999999	17	126710	y	879	127589	TrialProc	7	('DIVIDE', 'DECREMENT', 'x', 'THIRD', 'y')	Trials	BUxUy	4	2	4	Correct	8	4
<?xml version="1.0"?>\n<Clock xmlns	59.822	fMRI-RITL-Experiment	1	1276654690	1	02-29-2012	13	9	11046	Stim/11046-experiment.txt	1	1	1	1	No	80	BlockProc	Blocks	y	0	2000	0	0		-999999	10	135703	y	3846	139549	0		-999999	-5	141688	y	5652	147340	0		-7	7	134700		0	0	0		-8	8	140701		0	0	9	(8, 1, 8)	DIVIDE	DOUBLE	HALF	Yes	8	1	y	-999999	6	150698	y	738	151436	TrialProc	8	('DIVIDE', 'DOUBLE', 'x', 'HALF', 'y')	Trials	BUxUy	5	2	5	Correct	4	2
<?xml version="1.0"?>\n<Clock xmlns	59.822	fMRI-RITL-Experiment	1	1276654690	1	02-29-2012	13	9	11046	Stim/11046-experiment.txt	1	1	1	1	No	80	BlockProc	Blocks	y	10000	6000	2000	0		-999999	-2	153690	y	1922	155612	0		-999999	6	167698	y	6538	174236	0		-12	12	152704		0	0	0		-4	4	166696		0	0	3	(14, 3, 4)	DIVIDE	DOUBLE	HALF	Yes	4	1	y	-999999	12	180704	y	764	181468	TrialProc	4	('DIVIDE', 'DOUBLE', 'x', 'HALF', 'y')	Trials	BUxUy	6	2	6	Correct	7	6
<?xml version="1.0"?>\n<Clock xmlns	59.822	fMRI-RITL-Experiment	1	1276654690	1	02-29-2012	13	9	11046	Stim/11046-experiment.txt	1	1	1	1	No	80	BlockProc	Blocks	b	6000	2000	10000	0		-999999	10	185702	y	1454	187156	0		-999999	6	195698	y	4386	200084	0		-7	7	184699		0	0	0		-4	4	194696		0	0	2	(4, 3, 1)	DIVIDE	DOUBLE	HALF	Yes	2	1	b	-999999	11	202703	b	533	203236	TrialProc	1	('DIVIDE', 'DOUBLE', 'x', 'HALF', 'y')	Trials	BUxUy	7	2	7	Foil	2	7
<?xml version="1.0"?>\n<Clock xmlns	59.822	fMRI-RITL-Experiment	1	1276654690	1	02-29-2012	13	9	11046	Stim/11046-experiment.txt	1	1	1	1	No	80	BlockProc	Blocks	y	4000	4000	4000	0		-999999	0	215691	y	4448	220139	0		-999999	-3	225688	y	3779	229467	0		-14	14	214705		0	0	0		-10	10	224701		0	0	2	(9, 6, 3)	SUBTRACT	TRIPLE	DOUBLE	No	3	1	y	-999999	7	234698	y	761	235459	TrialProc	3	('SUBTRACT', 'TRIPLE', 'x', 'DOUBLE', 'y')	Trials	BUxUy	8	2	8	Correct	3	3
<?xml version="1.0"?>\n<Clock xmlns	59.822	fMRI-RITL-Experiment	1	1276654690	1	02-29-2012	13	9	11046	Stim/11046-experiment.txt	1	1	1	1	No	80	BlockProc	Blocks	b	0	8000	4000	0		-999999	-5	241686	y	2949	244635	0		-999999	6	245697	y	4450	250147	0		-8	8	240699		0	0	0		-3	3	244694		0	0	36	(5, 7, 35)	TIMES	DECREMENT	INCREMENT	Yes	36	1	b	-999999	12	258703	b	1108	259811	TrialProc	35	('TIMES', 'DECREMENT', 'x', 'INCREMENT', 'y')	Trials	BUxUy	9	2	9	Foil	6	6
<?xml version="1.0"?>\n<Clock xmlns	59.822	fMRI-RITL-Experiment	1	1276654690	1	02-29-2012	13	9	11046	Stim/11046-experiment.txt	1	1	1	1	No	80	BlockProc	Blocks	y	4000	2000	0	0		-999999	-1	265690	y	1329	267019	0		-999999	6	273697	y	4506	278203	0		-13	13	264704		0	0	0		-3	3	272694		0	0	20	(3, 6, 18)	TIMES	DECREMENT	INCREMENT	Yes	18	1	y	-999999	10	280701	y	662	281363	TrialProc	18	('TIMES', 'DECREMENT', 'x', 'INCREMENT', 'y')	Trials	BUxUy	10	2	10	Correct	4	5
<?xml version="1.0"?>\n<Clock xmlns	59.822	fMRI-RITL-Experiment	1	1276654690	1	02-29-2012	13	9	11046	Stim/11046-experiment.txt	2	2	1	2	No	100	BlockProc	Blocks	y	0	2000	2000	0		-999999	-2	352432	y	4610	357042	0		-999999	-1	358433	y	2832	361265	0		-11	11	351445		0	0	0		-12	12	357446		0	0	40	(6, 6, 36)	TIMES	DOUBLE	INCREMENT	No	36	1	y	-999999	14	363448	y	537	363985	TrialProc	36	('TIMES', 'DOUBLE', 'x', 'INCREMENT', 'y')	Trials	BUxUy	11	2	11	Correct	3	5
<?xml version="1.0"?>\n<Clock xmlns	59.822	fMRI-RITL-Experiment	1	1276654690	1	02-29-2012	13	9	11046	Stim/11046-experiment.txt	2	2	1	2	No	100	BlockProc	Blocks	b	0	8000	2000	0		-999999	-4	368429	y	3044	371473	0		-999999	-3	374430	y	3115	377545	0		-10	10	367443		0	0	0		-11	11	373444		0	0	2	(1, 1, 1)	TIMES	THIRD	HALF	No	2	1	b	-999999	3	387436	b	597	388033	TrialProc	1	('TIMES', 'THIRD', 'x', 'HALF', 'y')	Trials	BUxUy	12	2	12	Foil	3	2
<?xml version="1.0"?>\n<Clock xmlns	59.822	fMRI-RITL-Experiment	1	1276654690	1	02-29-2012	13	9	11046	Stim/11046-experiment.txt	2	2	1	2	No	100	BlockProc	Blocks	b	8000	4000	2000	0		-999999	1	392434	y	3559	395993	0		-999999	9	406442	y	3943	410385	0		-15	15	391448		0	0	0		-6	6	405439		0	0	9	(2, 5, 10)	TIMES	DECREMENT	INCREMENT	Yes	9	1	b	-999999	3	415436	b	741	416177	TrialProc	10	('TIMES', 'DECREMENT', 'x', 'INCREMENT', 'y')	Trials	BUxUy	13	2	13	Foil	3	4
<?xml version="1.0"?>\n<Clock xmlns	59.822	fMRI-RITL-Experiment	1	1276654690	1	02-29-2012	13	9	11046	Stim/11046-experiment.txt	2	2	1	2	No	100	BlockProc	Blocks	y	2000	8000	6000	0		-999999	1	420434	y	1711	422145	0		-999999	2	426435	y	2702	429137	0		-15	15	419448		0	0	0		-16	16	425449		0	0	6	(10, 2, 5)	DIVIDE	DOUBLE	HALF	Yes	5	1	y	-999999	1	437434	y	582	438016	TrialProc	5	('DIVIDE', 'DOUBLE', 'x', 'HALF', 'y')	Trials	BUxUy	14	2	14	Correct	5	5
<?xml version="1.0"?>\n<Clock xmlns	59.822	fMRI-RITL-Experiment	1	1276654690	1	02-29-2012	13	9	11046	Stim/11046-experiment.txt	2	2	1	2	No	100	BlockProc	Blocks	y	2000	2000	4000	0		-999999	-4	446428	y	2020	448448	0		-999999	-3	452429	y	3843	456272	0		-10	10	445442		0	0	0		-11	11	451443		0	0	21	(2, 10, 20)	TIMES	DECREMENT	INCREMENT	Yes	20	1	y	-999999	1	459433	y	479	459912	TrialProc	20	('TIMES', 'DECREMENT', 'x', 'INCREMENT', 'y')	Trials	BUxUy	15	2	15	Correct	3	9
<?xml version="1.0"?>\n<Clock xmlns	59.822	fMRI-RITL-Experiment	1	1276654690	1	02-29-2012	13	9	11046	Stim/11046-experiment.txt	2	2	1	2	No	100	BlockProc	Blocks	b	6000	4000	6000	0		-999999	5	466437	y	3619	470056	0		-999999	8	478440	y	7472	485912	0		-19	19	465451		0	0	0		-5	5	477437		0	0	13	(24, 2, 12)	DIVIDE	TRIPLE	THIRD	No	13	1	b	-999999	13	491445	b	795	492240	TrialProc	12	('DIVIDE', 'TRIPLE', 'x', 'THIRD', 'y')	Trials	BUxUy	16	2	16	Foil	8	6
<?xml version="1.0"?>\n<Clock xmlns	59.822	fMRI-RITL-Experiment	1	1276654690	1	02-29-2012	13	9	11046	Stim/11046-experiment.txt	2	2	1	2	No	100	BlockProc	Blocks	y	8000	2000	0	0		-999999	7	500439	y	1417	501856	0		-999999	9	512441	y	3950	516391	0		-4	4	499436		0	0	0		-6	6	511438		0	0	3	(10, 4, 2)	DIVIDE	DOUBLE	HALF	Yes	2	1	y	-999999	14	519445	y	482	519927	TrialProc	2	('DIVIDE', 'DOUBLE', 'x', 'HALF', 'y')	Trials	BUxUy	17	2	17	Correct	5	8
